Domain Code,Domain,Area_Code_(FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","27","Rice, paddy","2012","2012","tonnes","500000","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","27","Rice, paddy","2014","2014","tonnes","537000","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","27","Rice, paddy","2016","2016","tonnes","356565","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","27","Rice, paddy","2018","2018","tonnes","352177","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","27","Rice, paddy","2020","2020","tonnes","439549","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","328","Seed cotton","2000","2000","ha","50000","*","Unofficial figure"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","328","Seed cotton","2002","2002","ha","50000","*","Unofficial figure"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","328","Seed cotton","2004","2004","ha","25500","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","328","Seed cotton","2006","2006","ha","31950","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","328","Seed cotton","2008","2008","ha","35000","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","328","Seed cotton","2010","2010","ha","33000","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","328","Seed cotton","2012","2012","ha","33000","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","328","Seed cotton","2014","2014","ha","35000","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","328","Seed cotton","2016","2016","ha","51102","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","328","Seed cotton","2018","2018","ha","39496","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","328","Seed cotton","2020","2020","ha","56740","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","328","Seed cotton","2000","2000","hg/ha","11400","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","328","Seed cotton","2002","2002","hg/ha","11400","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","328","Seed cotton","2004","2004","hg/ha","10980","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","328","Seed cotton","2006","2006","hg/ha","10016","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","328","Seed cotton","2008","2008","hg/ha","10000","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","328","Seed cotton","2010","2010","hg/ha","10000","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","328","Seed cotton","2012","2012","hg/ha","11000","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","328","Seed cotton","2014","2014","hg/ha","12237","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","328","Seed cotton","2016","2016","hg/ha","11545","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","328","Seed cotton","2018","2018","hg/ha","14546","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","328","Seed cotton","2020","2020","hg/ha","13053","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","328","Seed cotton","2000","2000","tonnes","57000","*","Unofficial figure"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","328","Seed cotton","2002","2002","tonnes","57000","*","Unofficial figure"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","328","Seed cotton","2004","2004","tonnes","28000","*","Unofficial figure"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","328","Seed cotton","2006","2006","tonnes","32000","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","328","Seed cotton","2008","2008","tonnes","35000","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","328","Seed cotton","2010","2010","tonnes","33000","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","328","Seed cotton","2012","2012","tonnes","36300","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","328","Seed cotton","2014","2014","tonnes","42829","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","328","Seed cotton","2016","2016","tonnes","58996","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","328","Seed cotton","2018","2018","tonnes","57450","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","328","Seed cotton","2020","2020","tonnes","74062","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","567","Watermelons","2000","2000","ha","12335","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","567","Watermelons","2002","2002","ha","12581","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","567","Watermelons","2004","2004","ha","6300","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","567","Watermelons","2006","2006","ha","20000","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","567","Watermelons","2008","2008","ha","20000","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","567","Watermelons","2010","2010","ha","25142","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","567","Watermelons","2012","2012","ha","21820","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","567","Watermelons","2014","2014","ha","19835","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","567","Watermelons","2016","2016","ha","74679","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","567","Watermelons","2018","2018","ha","25519","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","567","Watermelons","2020","2020","ha","66244","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","567","Watermelons","2000","2000","hg/ha","108929","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","567","Watermelons","2002","2002","hg/ha","108501","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","567","Watermelons","2004","2004","hg/ha","112698","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","567","Watermelons","2006","2006","hg/ha","100000","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","567","Watermelons","2008","2008","hg/ha","100000","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","567","Watermelons","2010","2010","hg/ha","100000","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","567","Watermelons","2012","2012","hg/ha","87080","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","567","Watermelons","2014","2014","hg/ha","151958","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","567","Watermelons","2016","2016","hg/ha","115473","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","567","Watermelons","2018","2018","hg/ha","134995","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","567","Watermelons","2020","2020","hg/ha","149496","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","567","Watermelons","2000","2000","tonnes","134364","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","567","Watermelons","2002","2002","tonnes","136505","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","567","Watermelons","2004","2004","tonnes","71000","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","567","Watermelons","2006","2006","tonnes","200000","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","567","Watermelons","2008","2008","tonnes","200000","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","567","Watermelons","2010","2010","tonnes","251420","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","567","Watermelons","2012","2012","tonnes","190009","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","567","Watermelons","2014","2014","tonnes","301409","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","567","Watermelons","2016","2016","tonnes","862341","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","567","Watermelons","2018","2018","tonnes","344494","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","567","Watermelons","2020","2020","tonnes","990318","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","15","Wheat","2000","2000","ha","2029000","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","15","Wheat","2002","2002","ha","1742000","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","15","Wheat","2004","2004","ha","1888000","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","15","Wheat","2006","2006","ha","2444000","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","15","Wheat","2008","2008","ha","2139000","","Official data"
